Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,rijndaelKeySetupEnc,orig,302,3,3,51,2,2,46,1,1
main1.c,rijndaelKeySetupEnc,orig-opt,301,3,3,54,2,2,50,1,1
main1.c,rijndaelKeySetupEnc,isochr,4.431,20,20,1.325,2,2,430,4,4
main1.c,rijndaelKeySetupEnc,isochr-opt,3.295,15,15,875,2,2,338,2,2
main1.c,rijndaelEncrypt,orig,18.390,5,5,6.810,3,3,660,1,1
main1.c,rijndaelEncrypt,orig-opt,18.840,5,5,7.530,5,5,1.380,1,1
main1.c,rijndaelEncrypt,isochr,52.830,7,7,12.930,3,3,2.970,0,0
main1.c,rijndaelEncrypt,isochr-opt,42.540,7,7,12.510,5,5,3.300,0,0
main2.c,rijndaelKeySetupEnc,orig,302,3,3,51,2,2,46,1,1
main2.c,rijndaelKeySetupEnc,orig-opt,301,3,3,54,2,2,50,1,1
main2.c,rijndaelKeySetupEnc,isochr,4.431,20,20,1.325,2,2,430,4,4
main2.c,rijndaelKeySetupEnc,isochr-opt,3.295,15,15,875,2,2,338,2,2
main2.c,rijndaelEncrypt,orig,21.660,5,5,8.160,3,3,810,1,1
main2.c,rijndaelEncrypt,orig-opt,22.200,5,5,8.910,5,5,1.500,1,1
main2.c,rijndaelEncrypt,isochr,52.830,7,7,12.930,3,3,2.970,0,0
main2.c,rijndaelEncrypt,isochr-opt,42.540,7,7,12.510,5,5,3.300,0,0
main3.c,rijndaelKeySetupEnc,orig,302,3,3,51,2,2,46,1,1
main3.c,rijndaelKeySetupEnc,orig-opt,301,3,3,54,2,2,50,1,1
main3.c,rijndaelKeySetupEnc,isochr,4.431,20,20,1.325,2,2,430,4,4
main3.c,rijndaelKeySetupEnc,isochr-opt,3.295,15,15,875,2,2,338,2,2
main3.c,rijndaelEncrypt,orig,24.600,5,5,9.390,3,3,840,1,1
main3.c,rijndaelEncrypt,orig-opt,25.350,5,5,10.260,5,5,1.620,1,1
main3.c,rijndaelEncrypt,isochr,52.830,7,7,12.930,3,3,2.970,0,0
main3.c,rijndaelEncrypt,isochr-opt,42.540,7,7,12.510,5,5,3.300,0,0
